biosample_acc,asm_acc,collection_date,meropenem,gentamicin,ciprofloxacin,trimethoprim-sulfamethoxazole,cefoxitin
SAMN48878094,GCA_059051015.1,2023-04-30,S,,S,S,
SAMN48878800,GCA_059050925.1,2023-07-26,S,,S,S,
SAMN48878795,GCA_053663615.1,2023-07-24,S,,S,S,
SAMN48878790,GCA_053663555.1,2023-07-21,,,R,S,
SAMN48878022,GCA_058475795.1,2023-04-28,S,,S,S,
SAMN48878714,GCA_053659595.1,2023-07-13,,,R,S,
SAMN48878712,GCA_053661175.1,2023-07-12,,,S,S,
SAMN48878703,GCA_053661195.1,2023-07-15,,,S,S,
SAMN48878700,GCA_053654575.1,2023-07-07,S,,R,S,
SAMN48878631,GCA_053661055.1,2023-07-07,,,R,S,
SAMN48878623,GCA_059050645.1,2023-07-04,,,S,S,
SAMN48878622,GCA_059050485.1,2023-07-04,,,S,S,
SAMN48878529,GCA_053664505.1,2023-06-13,S,,S,S,
SAMN48878461,GCA_053664435.1,2023-06-14,,,S,S,
SAMN48878447,GCA_053662865.1,2023-06-13,,,S,S,
SAMN48878444,GCA_053660855.1,2023-06-14,,,S,S,
SAMN48878443,GCA_053660755.1,2023-06-14,,,S,S,
SAMN48878380,GCA_053660655.1,2023-06-06,,,S,S,
SAMN48878379,GCA_053660575.1,2023-06-10,,,S,S,
SAMN51434709,GCA_054471215.1,2021-09-04,S,S,S,S,S
SAMN51434699,GCA_054470995.1,2021-10-03,S,S,S,R,S
SAMN54368220,GCA_054462055.1,2022-02,S,S,R,R,
SAMN55283967,GCA_055029315.1,2021-03-02,S,S,R,R,S
SAMN55283966,GCA_055029245.1,2021-05-14,S,R,R,R,S
SAMN55283965,GCA_055029235.1,2020-12-14,S,R,R,R,
SAMN55385771,GCA_055557455.1,2025-06-10,R,S,R,R,
SAMN51434902,GCA_060269295.1,2019-12-31,R,S,S,S,R
SAMN51434901,GCA_060269315.1,2019-12-31,S,S,S,R,S
SAMN51434900,GCA_060269335.1,2019-12-31,S,S,S,R,S
SAMN51434899,GCA_060269355.1,2019-12-31,S,I,S,S,S
SAMN51434898,GCA_060269375.1,2019-12-31,R,R,R,S,R
SAMN51434897,GCA_060269395.1,2019-12-31,I,R,S,S,S
SAMN51434896,GCA_060269415.1,2019-12-31,R,S,S,S,S
SAMN51434895,GCA_060269435.1,2019-12-31,R,R,S,S,S
SAMN51434894,GCA_060269455.1,2019-12-31,S,R,S,S,S
SAMN51434893,GCA_060269485.1,2019-12-31,R,R,R,R,R
SAMN51434805,GCA_060271055.1,2022-03-04,R,R,I,S,R
SAMN51434804,GCA_060271095.1,2022-07-22,S,R,S,S,S
SAMN51434802,GCA_060271115.1,2022-05-31,R,S,S,S,R
SAMN51434803,GCA_060271135.1,2022-07-01,R,S,S,S,R
SAMN51434801,GCA_060271155.1,2022-05-24,R,S,S,S,R
SAMN51434800,GCA_060271175.1,2022-05-17,R,S,S,S,R
SAMN51434799,GCA_060271185.1,2022-05-18,R,S,S,S,R
SAMN51434798,GCA_060271215.1,2022-03-17,R,S,S,S,R
SAMN51434797,GCA_060271235.1,2022-02-23,R,S,S,S,R
SAMN51434796,GCA_060271255.1,2022-07-20,R,S,S,S,S
SAMN51434794,GCA_060271275.1,2022-05-13,R,S,S,S,R
SAMN51434793,GCA_060271305.1,2022-01-28,S,S,S,S,S
SAMN51434795,GCA_060271295.1,2022-07-20,R,S,S,S,R
SAMN51434792,GCA_060271335.1,2022-02-22,R,R,S,S,R
SAMN51434790,GCA_060271355.1,2022-04-13,R,S,S,S,R
SAMN51434791,GCA_060271375.1,2022-06-10,R,S,S,S,R
SAMN51434789,GCA_060271395.1,2022-04-13,R,S,S,S,R
SAMN51434788,GCA_060271415.1,2022-04-01,S,R,S,S,S
SAMN51434787,GCA_060271435.1,2022-04-14,R,S,S,S,I
SAMN51434786,GCA_060271455.1,2022-04-14,R,S,S,S,R
SAMN51434784,GCA_060271485.1,2022-04-14,R,S,S,S,R
SAMN51434785,GCA_060271475.1,2022-04-14,R,S,S,S,R
SAMN51434781,GCA_060271525.1,2022-04-14,R,S,S,S,R
SAMN51434783,GCA_060271515.1,2022-04-14,R,S,R,R,R
SAMN51434782,GCA_060271555.1,2022-04-14,R,R,S,S,R
SAMN51434780,GCA_060271575.1,2022-04-14,R,S,S,S,R
SAMN51434779,GCA_060271595.1,2022-04-13,R,R,S,S,R
SAMN51434778,GCA_060271615.1,2022-04-14,R,S,S,S,I
SAMN51434777,GCA_060271635.1,2022-04-14,R,S,S,S,R
SAMN51434776,GCA_060271655.1,2022-04-01,S,R,S,S,S
SAMN51434775,GCA_060271665.1,2022-04-14,R,S,S,S,R
SAMN51434774,GCA_060271695.1,2022-04-13,R,S,S,S,R
SAMN51434772,GCA_060271715.1,2022-04-13,R,S,S,S,R
SAMN51434773,GCA_060271725.1,2022-04-13,R,R,S,S,R
SAMN51434771,GCA_060271755.1,2022-04-13,R,R,S,S,R
SAMN51434770,GCA_060271775.1,2022-04-01,S,S,S,S,R
SAMN51434769,GCA_060271785.1,2022-04-13,S,S,S,S,S
SAMN51434768,GCA_060271815.1,2022-04-11,R,S,S,S,R
SAMN51434767,GCA_060271835.1,2022-12-31,R,R,S,S,R
SAMN51434766,GCA_060271855.1,2022-12-31,I,S,S,S,S
SAMN51434765,GCA_060271875.1,2022-12-31,R,S,S,S,I
SAMN51434764,GCA_060271895.1,2022-12-31,R,S,S,S,R
SAMN51434763,GCA_060271915.1,2022-12-31,S,R,S,S,S
SAMN51434762,GCA_060271935.1,2022-12-31,I,S,S,S,S
SAMN51434761,GCA_060271955.1,2022-12-31,R,S,S,S,R
SAMN51434760,GCA_060271975.1,2022-12-31,S,S,S,S,S
SAMN51434759,GCA_060271995.1,2022-12-31,S,S,S,S,S
SAMN51434758,GCA_060272015.1,2022-12-31,S,S,S,S,S
SAMN51434757,GCA_060272035.1,2022-12-31,R,R,S,S,R
SAMN51434756,GCA_060272055.1,2022-12-31,S,S,S,S,S
SAMN51434755,GCA_060272075.1,2022-12-31,S,R,S,S,S
SAMN51434753,GCA_060272095.1,2022-12-31,S,R,S,S,S
SAMN51434754,GCA_060272105.1,2022-12-31,S,R,S,S,S
SAMN51434752,GCA_060272135.1,2022-12-31,S,R,S,S,S
SAMN51434751,GCA_060272155.1,2022-12-31,S,S,S,S,S
SAMN51434749,GCA_060272185.1,2022-12-31,S,I,S,S,S
SAMN51434750,GCA_060272175.1,2022-12-31,S,I,S,S,S
SAMN51434748,GCA_060272215.1,2022-12-31,R,R,S,R,S
SAMN51434747,GCA_060272235.1,2022-12-31,S,S,S,S,S
SAMN51434746,GCA_060272245.1,2022-12-31,S,S,S,R,S
SAMN51434745,GCA_060272275.1,2022-12-31,I,S,S,S,S
SAMN51434743,GCA_060272295.1,2022-12-31,S,S,S,R,S
SAMN51434744,GCA_060272315.1,2022-12-31,S,S,S,S,S
SAMN51434742,GCA_060272335.1,2022-12-31,S,S,S,S,S
SAMN51434740,GCA_060272355.1,2022-12-31,R,S,S,S,R
SAMN51434741,GCA_060272365.1,2022-12-31,S,S,S,S,S
SAMN51434739,GCA_060272395.1,2022-12-31,S,R,S,R,S
SAMN51434738,GCA_060272425.1,2022-12-31,S,I,S,S,S
SAMN51434737,GCA_060272415.1,2022-12-31,S,S,S,S,S
SAMN51434736,GCA_060272455.1,2022-12-31,R,R,S,S,S
SAMN51434735,GCA_060272475.1,2022-12-31,S,S,S,R,S
SAMN51434734,GCA_060272485.1,2022-12-31,S,S,S,S,S
SAMN51434733,GCA_060272515.1,2022-12-31,S,R,S,R,S
SAMN51434732,GCA_060272535.1,2022-12-31,S,R,S,R,S
SAMN51434731,GCA_060272545.1,2022-12-31,S,S,S,S,S
SAMN51434729,GCA_060272585.1,2022-12-31,R,R,R,R,R
SAMN51434730,GCA_060272575.1,2022-12-31,S,S,S,S,S
SAMN51434728,GCA_060272615.1,2022-12-31,S,S,S,S,S
SAMN51434726,GCA_060272635.1,2022-12-31,R,R,R,R,R
SAMN51434727,GCA_060272645.1,2022-12-31,S,R,S,R,S
SAMN51434725,GCA_060272675.1,2022-12-31,R,R,S,S,R
SAMN51434724,GCA_060272695.1,2022-12-31,R,S,S,S,S
SAMN51434723,GCA_060272715.1,2022-12-31,S,S,S,S,S
SAMN51434722,GCA_060272735.1,2022-12-31,R,S,S,S,R
SAMN51434721,GCA_060272755.1,2022-12-31,R,R,S,R,I
SAMN51434720,GCA_060272765.1,2022-12-31,I,R,S,S,S
SAMN51434719,GCA_060272795.1,2021-09-19,R,S,S,R,S
SAMN51434717,GCA_060272815.1,2021-02-22,S,R,S,S,S
SAMN51434718,GCA_060272825.1,2020-12-04,S,S,S,S,S
SAMN51434716,GCA_060272855.1,2020-10-31,S,S,S,S,S
SAMN51434715,GCA_060272875.1,2021-08-12,S,S,S,S,S
SAMN51434714,GCA_060272895.1,2021-01-03,S,S,S,S,S
SAMN51434713,GCA_060272915.1,2020-11-05,S,S,S,S,S
SAMN51434712,GCA_060272935.1,2020-09-30,S,S,S,S,S
SAMN51434710,GCA_060272955.1,2020-01-16,S,S,S,S,S
SAMN51434669,GCA_060272975.1,2020-07-15,R,R,R,R,R
SAMN51434668,GCA_060272995.1,2020-07-15,I,S,S,R,S
SAMN51434667,GCA_060273015.1,2021-05-08,S,S,S,S,S
SAMN51434666,GCA_060273035.1,2021-04-05,S,R,S,S,S
SAMN51434665,GCA_060273055.1,2021-02-13,S,S,S,S,S
SAMN51434664,GCA_060273075.1,2021-06-16,S,R,S,S,S
SAMN51434663,GCA_060273095.1,2021-06-15,S,S,S,S,S
SAMN51434662,GCA_060273105.1,2021-06-15,S,R,S,S,I
SAMN51434661,GCA_060273135.1,2021-06-13,S,S,S,S,S
SAMN51434660,GCA_060273155.1,2021-06-11,S,R,S,R,S
SAMN51434659,GCA_060273165.1,2021-06-04,S,S,S,S,S
SAMN51434658,GCA_060273195.1,2021-06-01,S,R,R,R,I
SAMN51434657,GCA_060273225.1,2021-05-28,S,S,S,S,S
SAMN51434656,GCA_060273215.1,2021-04-26,S,S,S,S,S
SAMN51434655,GCA_060273255.1,2021-03-10,S,S,S,S,S
SAMN51434653,GCA_060273275.1,2021-01-29,S,S,S,S,S
SAMN51434654,GCA_060273285.1,2021-01-20,S,S,S,S,S
SAMN51434652,GCA_060273315.1,2021-06-17,I,R,S,S,I
SAMN51434651,GCA_060273335.1,2021-06-17,S,R,S,S,S
SAMN51434650,GCA_060273355.1,2021-06-17,S,S,S,R,S
SAMN51434649,GCA_060273375.1,2021-05-22,S,S,S,S,S
SAMN51434648,GCA_060273395.1,2021-05-09,S,R,S,S,S
SAMN51434647,GCA_060273415.1,2021-01-30,R,R,S,R,S
SAMN51434646,GCA_060273435.1,2021-06-19,S,R,S,S,S
SAMN51434645,GCA_060273455.1,2021-06-13,S,R,S,R,S
SAMN51434644,GCA_060273475.1,2021-06-12,S,R,I,R,I
SAMN51434643,GCA_060273495.1,2021-05-31,S,S,S,R,S
SAMN51434642,GCA_060273515.1,2021-06-04,S,S,S,S,S
SAMN51434641,GCA_060273535.1,2021-05-11,S,R,S,S,S
SAMN51434640,GCA_060273545.1,2021-03-13,I,R,S,R,S
SAMN51434639,GCA_060273575.1,2021-03-10,S,S,S,S,S
SAMN51434638,GCA_060273595.1,2021-01-29,S,S,S,S,S
SAMN51434637,GCA_060273615.1,2021-01-28,S,S,S,S,S
SAMN51434635,GCA_060273655.1,2021-01-17,S,R,S,S,I
SAMN51434634,GCA_060273675.1,2021-06-21,S,R,S,S,S
SAMN51434633,GCA_060273695.1,2021-06-16,S,R,S,R,S
SAMN51434631,GCA_060273715.1,2021-05-24,S,R,S,S,S
SAMN51434632,GCA_060273725.1,2021-06-14,S,S,S,S,S
SAMN51434630,GCA_060273755.1,2019-10-26,S,S,S,S,S
SAMN51434628,GCA_060273775.1,2019-11-18,S,S,S,S,S
SAMN51434629,GCA_060273795.1,2019-10-18,S,S,S,S,S
SAMN51434627,GCA_060273815.1,2019-10-29,S,R,S,S,S
SAMN51434626,GCA_060273855.1,2019-10-27,S,R,S,S,R
